pattern_id,preset,product_target,focal_point_clear,bouquet_cohesive,flowers_refined,leaves_refined,natural_flow,good_negative_space,palette_beautiful,thumbnail_readable,looks_professional,looks_original,suitable_for_submission,reviewer_notes,final_decision
kidsPlayful_5,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_6,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_7,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_8,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_9,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_10,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
organicAbstract_1,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_2,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_3,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_4,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_5,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_6,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_7,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_8,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_9,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
organicAbstract_10,organicAbstract,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_1,vintageHerbarium,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_2,vintageHerbarium,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_3,vintageHerbarium,stationery,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_4,vintageHerbarium,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_5,vintageHerbarium,stationery,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_6,vintageHerbarium,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_7,vintageHerbarium,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_8,vintageHerbarium,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_9,vintageHerbarium,stationery,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
vintageHerbarium_10,vintageHerbarium,stationery,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
