pattern_id,style_id,product_target,decision,commercial_v1,commercial_v2,beauty_score,fragmented_silhouette,dead_space,thumbnail200,thumbnail_legible_all_scales,keyword_count
bohoFloral_7,bohoFloral,fabric,READY,81.00,81.00,76,false,false,89,true,50
bohoFloral_8,bohoFloral,fabric,READY,85.00,85.00,80,false,false,90,true,50
bohoFloral_9,bohoFloral,fabric,READY,86.00,86.00,79,false,false,89,true,50
bohoFloral_10,bohoFloral,fabric,READY,88.00,88.00,80,false,false,89,true,50
editorialBotanical_1,editorialBotanical,stationery,READY,85.00,85.00,84,false,false,100,true,50
editorialBotanical_2,editorialBotanical,stationery,READY,89.00,89.00,84,false,false,100,true,50
editorialBotanical_3,editorialBotanical,stationery,READY,87.00,87.00,83,false,false,100,true,50
editorialBotanical_4,editorialBotanical,stationery,READY,88.00,88.00,85,false,false,100,true,50
editorialBotanical_5,editorialBotanical,stationery,REVIEW,88.00,88.00,77,true,false,100,true,50
editorialBotanical_6,editorialBotanical,stationery,REVIEW,90.00,90.00,77,true,false,100,true,50
editorialBotanical_7,editorialBotanical,stationery,REVIEW,88.00,88.00,78,true,false,100,true,50
editorialBotanical_8,editorialBotanical,stationery,REVIEW,72.00,72.00,79,false,true,100,true,50
editorialBotanical_9,editorialBotanical,stationery,REVIEW,87.00,87.00,77,true,false,100,true,50
editorialBotanical_10,editorialBotanical,stationery,REVIEW,90.00,90.00,77,true,false,100,true,50
minimalBotanical_1,minimalBotanical,textile,READY,61.00,81.00,83,false,false,100,true,50
minimalBotanical_2,minimalBotanical,textile,REJECT,13.00,73.00,68,true,true,100,true,50
minimalBotanical_3,minimalBotanical,textile,READY,61.00,81.00,82,false,false,100,true,50
minimalBotanical_4,minimalBotanical,textile,REJECT,19.00,74.00,68,true,true,100,true,50
minimalBotanical_5,minimalBotanical,textile,REJECT,28.00,73.00,70,true,true,100,true,50
minimalBotanical_6,minimalBotanical,textile,REJECT,35.00,75.00,70,true,true,100,true,50
minimalBotanical_7,minimalBotanical,textile,REJECT,30.00,75.00,72,true,true,100,true,50
minimalBotanical_8,minimalBotanical,textile,REJECT,13.00,73.00,66,true,true,100,true,50
minimalBotanical_9,minimalBotanical,textile,REJECT,30.00,75.00,73,true,true,100,true,50
minimalBotanical_10,minimalBotanical,textile,REJECT,14.00,74.00,67,true,true,100,true,50
scandinavianOrganic_1,scandinavianOrganic,homeDecor,READY,87.00,87.00,80,false,false,100,true,50
scandinavianOrganic_2,scandinavianOrganic,homeDecor,READY,88.00,88.00,81,false,false,95,true,50
scandinavianOrganic_3,scandinavianOrganic,homeDecor,READY,85.00,85.00,79,false,false,100,true,50
scandinavianOrganic_4,scandinavianOrganic,homeDecor,READY,87.00,87.00,83,false,false,92,true,50
scandinavianOrganic_5,scandinavianOrganic,homeDecor,READY,86.00,86.00,83,false,false,100,true,50
scandinavianOrganic_6,scandinavianOrganic,homeDecor,READY,86.00,86.00,78,false,false,94,true,50
scandinavianOrganic_7,scandinavianOrganic,homeDecor,READY,88.00,88.00,84,false,false,91,true,50
scandinavianOrganic_8,scandinavianOrganic,homeDecor,READY,87.00,87.00,83,false,false,100,true,50
scandinavianOrganic_9,scandinavianOrganic,homeDecor,REVIEW,88.00,88.00,78,true,false,91,true,50
scandinavianOrganic_10,scandinavianOrganic,homeDecor,READY,87.00,87.00,84,false,false,93,true,50
modernTropical_1,modernTropical,fabric,READY,87.00,87.00,79,false,false,100,true,50
modernTropical_2,modernTropical,fabric,READY,88.00,88.00,79,false,false,100,true,50
modernTropical_3,modernTropical,fabric,READY,88.00,88.00,79,false,false,91,true,50
modernTropical_4,modernTropical,fabric,READY,88.00,88.00,80,false,false,100,true,50
modernTropical_5,modernTropical,fabric,READY,87.00,87.00,79,false,false,90,true,50
modernTropical_6,modernTropical,fabric,READY,87.00,87.00,79,false,false,100,true,50
modernTropical_7,modernTropical,fabric,READY,88.00,88.00,79,false,false,100,true,50
modernTropical_8,modernTropical,fabric,READY,88.00,88.00,80,false,false,100,true,50
modernTropical_9,modernTropical,fabric,READY,89.00,89.00,80,false,false,100,true,50
modernTropical_10,modernTropical,fabric,READY,87.00,87.00,79,false,false,89,true,50
kidsPlayful_1,kidsPlayful,textile,READY,84.00,84.00,78,false,false,89,true,50
kidsPlayful_2,kidsPlayful,textile,READY,84.00,84.00,80,false,false,90,true,50
kidsPlayful_3,kidsPlayful,textile,READY,84.00,84.00,78,false,false,92,true,50
kidsPlayful_4,kidsPlayful,textile,READY,85.00,85.00,79,false,false,91,true,50
kidsPlayful_5,kidsPlayful,textile,READY,85.00,85.00,81,false,false,91,true,50
kidsPlayful_6,kidsPlayful,textile,READY,86.00,86.00,80,false,false,90,true,50
kidsPlayful_7,kidsPlayful,textile,READY,85.00,85.00,79,false,false,91,true,50
kidsPlayful_8,kidsPlayful,textile,READY,85.00,85.00,79,false,false,92,true,50
kidsPlayful_9,kidsPlayful,textile,READY,85.00,85.00,78,false,false,88,true,50
kidsPlayful_10,kidsPlayful,textile,READY,85.00,85.00,79,false,false,89,true,50
organicAbstract_1,organicAbstract,wallpaper,READY,89.00,89.00,83,false,false,95,true,50
organicAbstract_2,organicAbstract,wallpaper,READY,88.00,88.00,82,false,false,90,true,50
organicAbstract_3,organicAbstract,wallpaper,READY,89.00,89.00,83,false,false,95,true,50
organicAbstract_4,organicAbstract,wallpaper,READY,88.00,88.00,82,false,false,87,true,50
organicAbstract_5,organicAbstract,wallpaper,READY,85.00,85.00,82,false,false,95,true,50
organicAbstract_6,organicAbstract,wallpaper,READY,89.00,89.00,83,false,false,93,true,50
organicAbstract_7,organicAbstract,wallpaper,READY,88.00,88.00,82,false,false,88,true,50
organicAbstract_8,organicAbstract,wallpaper,READY,88.00,88.00,82,false,false,88,true,50
organicAbstract_9,organicAbstract,wallpaper,READY,88.00,88.00,82,false,false,93,true,50
organicAbstract_10,organicAbstract,wallpaper,READY,88.00,88.00,83,false,false,89,true,50
vintageHerbarium_1,vintageHerbarium,stationery,READY,86.00,86.00,77,false,false,91,true,50
vintageHerbarium_2,vintageHerbarium,stationery,READY,47.00,82.00,82,false,false,100,true,50
vintageHerbarium_3,vintageHerbarium,stationery,READY,85.00,85.00,78,false,false,89,true,50
vintageHerbarium_4,vintageHerbarium,stationery,READY,87.00,87.00,77,false,false,90,true,50
vintageHerbarium_5,vintageHerbarium,stationery,READY,86.00,86.00,79,false,false,89,true,50
vintageHerbarium_6,vintageHerbarium,stationery,READY,86.00,86.00,79,false,false,89,true,50
vintageHerbarium_7,vintageHerbarium,stationery,READY,46.00,81.00,81,false,false,100,true,50
vintageHerbarium_8,vintageHerbarium,stationery,READY,47.00,82.00,84,false,false,100,true,50
vintageHerbarium_9,vintageHerbarium,stationery,READY,86.00,86.00,78,false,false,90,true,50
vintageHerbarium_10,vintageHerbarium,stationery,READY,86.00,86.00,76,false,false,89,true,50
